InitialDatetime;FinalDatetime;EntityId;EntityType;Magnitude;MagnitudeValue;MagnitudeUnits
2023-06-05 05:15:00;2023-06-05 05:30:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 05:15:00;2023-06-05 05:30:00;4;point_of_grid_delivery;power;256.0;kW
2023-06-05 05:15:00;2023-06-05 05:30:00;5;point_of_consumption;energy;64.0;kWh
2023-06-05 05:30:00;2023-06-05 05:45:00;1;battery;power;0.0;kW
2023-06-05 05:30:00;2023-06-05 05:45:00;1;battery;state_of_charge;100.0;%
2023-06-05 05:30:00;2023-06-05 05:45:00;2;battery;power;0.0;kW
2023-06-05 05:30:00;2023-06-05 05:45:00;2;battery;state_of_charge;100.0;%
2023-06-05 05:30:00;2023-06-05 05:45:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 05:30:00;2023-06-05 05:45:00;4;point_of_grid_delivery;power;256.0;kW
2023-06-05 05:30:00;2023-06-05 05:45:00;5;point_of_consumption;energy;64.0;kWh
2023-06-05 05:45:00;2023-06-05 06:00:00;1;battery;power;0.0;kW
2023-06-05 05:45:00;2023-06-05 06:00:00;1;battery;state_of_charge;100.0;%
2023-06-05 05:45:00;2023-06-05 06:00:00;2;battery;power;0.0;kW
2023-06-05 05:45:00;2023-06-05 06:00:00;2;battery;state_of_charge;100.0;%
2023-06-05 05:45:00;2023-06-05 06:00:00;3;photovoltaic_plate;power;0.0;kW
2023-06-05 05:45:00;2023-06-05 06:00:00;4;point_of_grid_delivery;power;256.0;kW
2023-06-05 05:45:00;2023-06-05 06:00:00;5;point_of_consumption;energy;64.0;kWh
2023-06-05 06:00:00;2023-06-05 06:15:00;1;battery;power;0.0;kW
2023-06-05 06:00:00;2023-06-05 06:15:00;1;battery;state_of_charge;100.0;%
2023-06-05 06:00:00;2023-06-05 06:15:00;2;battery;power;0.0;kW
2023-06-05 06:00:00;2023-06-05 06:15:00;2;battery;state_of_charge;100.0;%
2023-06-05 06:00:00;2023-06-05 06:15:00;3;photovoltaic_plate;power;30.525;kW
2023-06-05 06:00:00;2023-06-05 06:15:00;4;point_of_grid_delivery;power;233.475;kW
2023-06-05 06:00:00;2023-06-05 06:15:00;5;point_of_consumption;energy;66.0;kWh
2023-06-05 06:15:00;2023-06-05 06:30:00;1;battery;power;0.0;kW
2023-06-05 06:15:00;2023-06-05 06:30:00;1;battery;state_of_charge;100.0;%
2023-06-05 06:15:00;2023-06-05 06:30:00;2;battery;power;0.0;kW
2023-06-05 06:15:00;2023-06-05 06:30:00;2;battery;state_of_charge;100.0;%
2023-06-05 06:15:00;2023-06-05 06:30:00;3;photovoltaic_plate;power;30.525;kW
2023-06-05 06:15:00;2023-06-05 06:30:00;4;point_of_grid_delivery;power;233.475;kW
2023-06-05 06:15:00;2023-06-05 06:30:00;5;point_of_consumption;energy;66.0;kWh
2023-06-05 06:30:00;2023-06-05 06:45:00;1;battery;power;0.0;kW
2023-06-05 06:30:00;2023-06-05 06:45:00;1;battery;state_of_charge;100.0;%
2023-06-05 06:30:00;2023-06-05 06:45:00;2;battery;power;0.0;kW
2023-06-05 06:30:00;2023-06-05 06:45:00;2;battery;state_of_charge;100.0;%
2023-06-05 06:30:00;2023-06-05 06:45:00;3;photovoltaic_plate;power;30.525;kW
2023-06-05 06:30:00;2023-06-05 06:45:00;4;point_of_grid_delivery;power;233.475;kW
2023-06-05 06:30:00;2023-06-05 06:45:00;5;point_of_consumption;energy;66.0;kWh
2023-06-05 06:45:00;2023-06-05 07:00:00;1;battery;power;0.0;kW
2023-06-05 06:45:00;2023-06-05 07:00:00;1;battery;state_of_charge;100.0;%
2023-06-05 06:45:00;2023-06-05 07:00:00;2;battery;power;0.0;kW
2023-06-05 06:45:00;2023-06-05 07:00:00;2;battery;state_of_charge;100.0;%
2023-06-05 06:45:00;2023-06-05 07:00:00;3;photovoltaic_plate;power;30.525;kW
2023-06-05 06:45:00;2023-06-05 07:00:00;4;point_of_grid_delivery;power;233.475;kW
2023-06-05 06:45:00;2023-06-05 07:00:00;5;point_of_consumption;energy;66.0;kWh
2023-06-05 07:00:00;2023-06-05 07:15:00;1;battery;power;0.0;kW
2023-06-05 07:00:00;2023-06-05 07:15:00;1;battery;state_of_charge;100.0;%
2023-06-05 07:00:00;2023-06-05 07:15:00;2;battery;power;0.0;kW
2023-06-05 07:00:00;2023-06-05 07:15:00;2;battery;state_of_charge;100.0;%
2023-06-05 07:00:00;2023-06-05 07:15:00;3;photovoltaic_plate;power;120.25;kW
2023-06-05 07:00:00;2023-06-05 07:15:00;4;point_of_grid_delivery;power;155.75;kW
2023-06-05 07:00:00;2023-06-05 07:15:00;5;point_of_consumption;energy;69.0;kWh
2023-06-05 07:15:00;2023-06-05 07:30:00;1;battery;power;0.0;kW
2023-06-05 07:15:00;2023-06-05 07:30:00;1;battery;state_of_charge;100.0;%
2023-06-05 07:15:00;2023-06-05 07:30:00;2;battery;power;0.0;kW
2023-06-05 07:15:00;2023-06-05 07:30:00;2;battery;state_of_charge;100.0;%
2023-06-05 07:15:00;2023-06-05 07:30:00;3;photovoltaic_plate;power;120.25;kW
2023-06-05 07:15:00;2023-06-05 07:30:00;4;point_of_grid_delivery;power;155.75;kW
2023-06-05 07:15:00;2023-06-05 07:30:00;5;point_of_consumption;energy;69.0;kWh
2023-06-05 07:30:00;2023-06-05 07:45:00;1;battery;power;0.0;kW
2023-06-05 07:30:00;2023-06-05 07:45:00;1;battery;state_of_charge;100.0;%
2023-06-05 07:30:00;2023-06-05 07:45:00;2;battery;power;0.0;kW
2023-06-05 07:30:00;2023-06-05 07:45:00;2;battery;state_of_charge;100.0;%
2023-06-05 07:30:00;2023-06-05 07:45:00;3;photovoltaic_plate;power;120.25;kW
2023-06-05 07:30:00;2023-06-05 07:45:00;4;point_of_grid_delivery;power;155.75;kW
2023-06-05 07:30:00;2023-06-05 07:45:00;5;point_of_consumption;energy;69.0;kWh
2023-06-05 07:45:00;2023-06-05 08:00:00;1;battery;power;0.0;kW
2023-06-05 07:45:00;2023-06-05 08:00:00;1;battery;state_of_charge;100.0;%
2023-06-05 07:45:00;2023-06-05 08:00:00;2;battery;power;0.0;kW
2023-06-05 07:45:00;2023-06-05 08:00:00;2;battery;state_of_charge;100.0;%
2023-06-05 07:45:00;2023-06-05 08:00:00;3;photovoltaic_plate;power;120.25;kW
2023-06-05 07:45:00;2023-06-05 08:00:00;4;point_of_grid_delivery;power;155.75;kW
2023-06-05 07:45:00;2023-06-05 08:00:00;5;point_of_consumption;energy;69.0;kWh
2023-06-05 08:00:00;2023-06-05 08:15:00;1;battery;power;0.0;kW
2023-06-05 08:00:00;2023-06-05 08:15:00;1;battery;state_of_charge;100.0;%
2023-06-05 08:00:00;2023-06-05 08:15:00;2;battery;power;0.0;kW
2023-06-05 08:00:00;2023-06-05 08:15:00;2;battery;state_of_charge;100.0;%
2023-06-05 08:00:00;2023-06-05 08:15:00;3;photovoltaic_plate;power;249.75;kW
2023-06-05 08:00:00;2023-06-05 08:15:00;4;point_of_grid_delivery;power;710.25;kW
2023-06-05 08:00:00;2023-06-05 08:15:00;5;point_of_consumption;energy;240.0;kWh
2023-06-05 08:15:00;2023-06-05 08:30:00;1;battery;power;0.0;kW
2023-06-05 08:15:00;2023-06-05 08:30:00;1;battery;state_of_charge;100.0;%
2023-06-05 08:15:00;2023-06-05 08:30:00;2;battery;power;0.0;kW
2023-06-05 08:15:00;2023-06-05 08:30:00;2;battery;state_of_charge;100.0;%
2023-06-05 08:15:00;2023-06-05 08:30:00;3;photovoltaic_plate;power;249.75;kW
2023-06-05 08:15:00;2023-06-05 08:30:00;4;point_of_grid_delivery;power;710.25;kW
2023-06-05 08:15:00;2023-06-05 08:30:00;5;point_of_consumption;energy;240.0;kWh
2023-06-05 08:30:00;2023-06-05 08:45:00;1;battery;power;0.0;kW
2023-06-05 08:30:00;2023-06-05 08:45:00;1;battery;state_of_charge;100.0;%
2023-06-05 08:30:00;2023-06-05 08:45:00;2;battery;power;0.0;kW
2023-06-05 08:30:00;2023-06-05 08:45:00;2;battery;state_of_charge;100.0;%
2023-06-05 08:30:00;2023-06-05 08:45:00;3;photovoltaic_plate;power;249.75;kW
2023-06-05 08:30:00;2023-06-05 08:45:00;4;point_of_grid_delivery;power;710.25;kW
2023-06-05 08:30:00;2023-06-05 08:45:00;5;point_of_consumption;energy;240.0;kWh
2023-06-05 08:45:00;2023-06-05 09:00:00;1;battery;power;0.0;kW
2023-06-05 08:45:00;2023-06-05 09:00:00;1;battery;state_of_charge;100.0;%
2023-06-05 08:45:00;2023-06-05 09:00:00;2;battery;power;0.0;kW
2023-06-05 08:45:00;2023-06-05 09:00:00;2;battery;state_of_charge;100.0;%
2023-06-05 08:45:00;2023-06-05 09:00:00;3;photovoltaic_plate;power;249.75;kW
2023-06-05 08:45:00;2023-06-05 09:00:00;4;point_of_grid_delivery;power;710.25;kW
2023-06-05 08:45:00;2023-06-05 09:00:00;5;point_of_consumption;energy;240.0;kWh
2023-06-05 09:00:00;2023-06-05 09:15:00;1;battery;power;-150.0;kW
2023-06-05 09:00:00;2023-06-05 09:15:00;1;battery;state_of_charge;85.0;%
2023-06-05 09:00:00;2023-06-05 09:15:00;2;battery;power;-150.0;kW
2023-06-05 09:00:00;2023-06-05 09:15:00;2;battery;state_of_charge;85.0;%
2023-06-05 09:00:00;2023-06-05 09:15:00;3;photovoltaic_plate;power;456.025;kW
2023-06-05 09:00:00;2023-06-05 09:15:00;4;point_of_grid_delivery;power;187.97500000000002;kW
2023-06-05 09:00:00;2023-06-05 09:15:00;5;point_of_consumption;energy;236.0;kWh
2023-06-05 09:15:00;2023-06-05 09:30:00;1;battery;power;-150.0;kW
2023-06-05 09:15:00;2023-06-05 09:30:00;1;battery;state_of_charge;70.0;%
2023-06-05 09:15:00;2023-06-05 09:30:00;2;battery;power;-150.0;kW
2023-06-05 09:15:00;2023-06-05 09:30:00;2;battery;state_of_charge;70.0;%
2023-06-05 09:15:00;2023-06-05 09:30:00;3;photovoltaic_plate;power;456.025;kW
2023-06-05 09:15:00;2023-06-05 09:30:00;4;point_of_grid_delivery;power;187.97500000000002;kW
2023-06-05 09:15:00;2023-06-05 09:30:00;5;point_of_consumption;energy;236.0;kWh
2023-06-05 09:30:00;2023-06-05 09:45:00;1;battery;power;-150.0;kW
2023-06-05 09:30:00;2023-06-05 09:45:00;1;battery;state_of_charge;55.00000000000001;%
2023-06-05 09:30:00;2023-06-05 09:45:00;2;battery;power;-150.0;kW
2023-06-05 09:30:00;2023-06-05 09:45:00;2;battery;state_of_charge;55.00000000000001;%
2023-06-05 09:30:00;2023-06-05 09:45:00;3;photovoltaic_plate;power;456.025;kW
2023-06-05 09:30:00;2023-06-05 09:45:00;4;point_of_grid_delivery;power;187.97500000000002;kW
2023-06-05 09:30:00;2023-06-05 09:45:00;5;point_of_consumption;energy;236.0;kWh
2023-06-05 09:45:00;2023-06-05 10:00:00;1;battery;power;-150.0;kW
2023-06-05 09:45:00;2023-06-05 10:00:00;1;battery;state_of_charge;40.0;%
2023-06-05 09:45:00;2023-06-05 10:00:00;2;battery;power;-150.0;kW
2023-06-05 09:45:00;2023-06-05 10:00:00;2;battery;state_of_charge;40.0;%
2023-06-05 09:45:00;2023-06-05 10:00:00;3;photovoltaic_plate;power;456.025;kW
2023-06-05 09:45:00;2023-06-05 10:00:00;4;point_of_grid_delivery;power;187.97500000000002;kW
2023-06-05 09:45:00;2023-06-05 10:00:00;5;point_of_consumption;energy;236.0;kWh
2023-06-05 10:00:00;2023-06-05 10:15:00;1;battery;power;-150.0;kW
2023-06-05 10:00:00;2023-06-05 10:15:00;1;battery;state_of_charge;25.0;%
2023-06-05 10:00:00;2023-06-05 10:15:00;2;battery;power;-89.72500000000002;kW
2023-06-05 10:00:00;2023-06-05 10:15:00;2;battery;state_of_charge;31.027499999999996;%
2023-06-05 10:00:00;2023-06-05 10:15:00;3;photovoltaic_plate;power;576.275;kW
2023-06-05 10:00:00;2023-06-05 10:15:00;4;point_of_grid_delivery;power;0.0;kW
2023-06-05 10:00:00;2023-06-05 10:15:00;5;point_of_consumption;energy;204.0;kWh
2023-06-05 10:15:00;2023-06-05 10:30:00;1;battery;power;-150.0;kW
2023-06-05 10:15:00;2023-06-05 10:30:00;1;battery;state_of_charge;10.0;%
2023-06-05 10:15:00;2023-06-05 10:30:00;2;battery;power;-89.72500000000002;kW
2023-06-05 10:15:00;2023-06-05 10:30:00;2;battery;state_of_charge;22.054999999999996;%
2023-06-05 10:15:00;2023-06-05 10:30:00;3;photovoltaic_plate;power;576.275;kW
2023-06-05 10:15:00;2023-06-05 10:30:00;4;point_of_grid_delivery;power;0.0;kW
2023-06-05 10:15:00;2023-06-05 10:30:00;5;point_of_consumption;energy;204.0;kWh
2023-06-05 10:30:00;2023-06-05 10:45:00;1;battery;power;-100.0;kW
2023-06-05 10:30:00;2023-06-05 10:45:00;1;battery;state_of_charge;0.0;%
2023-06-05 10:30:00;2023-06-05 10:45:00;2;battery;power;-139.72500000000002;kW
2023-06-05 10:30:00;2023-06-05 10:45:00;2;battery;state_of_charge;8.082499999999994;%
2023-06-05 10:30:00;2023-06-05 10:45:00;3;photovoltaic_plate;power;576.275;kW
2023-06-05 10:30:00;2023-06-05 10:45:00;4;point_of_grid_delivery;power;0.0;kW
2023-06-05 10:30:00;2023-06-05 10:45:00;5;point_of_consumption;energy;204.0;kWh
2023-06-05 10:45:00;2023-06-05 11:00:00;1;battery;power;0.0;kW
